ID,Link,Title,Subtitle,Extra
2154960,https://book.douban.com/subject/2154960/,一个陌生女人的来信,,[奥] 斯台芬·茨威格|张玉书|上海译文出版社|2007-7|20.00元
1059419,https://book.douban.com/subject/1059419/,海边的卡夫卡,,[日] 村上春树|林少华|上海译文出版社|2003-4|25.00元
1054685,https://book.douban.com/subject/1054685/,沉默的大多数,王小波杂文随笔全编,王小波|中国青年出版社|1997-10|27.00元
26954760,https://book.douban.com/subject/26954760/,月亮与六便士,,[英] 威廉·萨默塞特·毛姆|徐淳刚|浙江文艺出版社|2017-1-1|39.80元
1002299,https://book.douban.com/subject/1002299/,笑傲江湖（全四册）,,金庸|生活·读书·新知三联书店|1994-5|76.80元
1040211,https://book.douban.com/subject/1040211/,福尔摩斯探案全集（上中下）,,[英] 阿·柯南道尔|丁钟华 等|群众出版社|1981-8|53.00元|68.00元
1401425,https://book.douban.com/subject/1401425/,兄弟（上）,,余华|上海文艺出版社|2005-8|16.00元
1008988,https://book.douban.com/subject/1008988/,了不起的盖茨比,,菲茨杰拉德|姚乃强|人民文学出版社|2004-06|12.00元
1827374,https://book.douban.com/subject/1827374/,东方快车谋杀案,,[英] 阿加莎·克里斯蒂|陈尧光|人民文学出版社|2006-5|18.00元
1775691,https://book.douban.com/subject/1775691/,少有人走的路,心智成熟的旅程,[美] M·斯科特·派克|于海生|吉林文史出版社|2007-1|26.00元
3006581,https://book.douban.com/subject/3006581/,无人生还,,[英] 阿加莎・克里斯蒂|祁阿红|人民文学出版社|2008-3|19.00
1080370,https://book.douban.com/subject/1080370/,情书,,[日] 岩井俊二|穆晓芳|天津人民出版社|2004-7|18.00元
1024197,https://book.douban.com/subject/1024197/,巴黎圣母院,,[法]雨果|陈敬容|人民文学出版社|1982-6|22.50元
1255624,https://book.douban.com/subject/1255624/,神雕侠侣,,金庸|有1996年11月北平第4次印本|生活·读书·新知三联书店|1994-5|76.80元
1829226,https://book.douban.com/subject/1829226/,肖申克的救赎,,[美] 斯蒂芬·金|施寄青|人民文学出版社|2006-7|29.90元
