MovieLink	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9
https://movie.douban.com/subject/1308807/	0	1.8	1	0	10.666666666666668	1.2666666666666666	6.666666666666667	3.9333333333333336	0
https://movie.douban.com/subject/21937445/	0	2.8	1	1.9333333333333333	11.600000000000001	2.8666666666666667	9.8	3.9333333333333336	0
https://movie.douban.com/subject/1293544/	0	4.800000000000001	1	3	11.866666666666667	3	11.933333333333334	2	0
https://movie.douban.com/subject/30334073/	0	2.8666666666666667	1.8666666666666667	2	8.4	0.9333333333333333	3.6000000000000005	0.9333333333333333	1
https://movie.douban.com/subject/1291828/	0	2.9333333333333336	1	1.9333333333333333	15.266666666666667	4.933333333333334	12.8	3	0
https://movie.douban.com/subject/1291583/	0	1.9333333333333333	2	1	14.200000000000001	1	8.600000000000001	4.933333333333334	0
https://movie.douban.com/subject/4873490/	0	2.6	1.6	1.7333333333333334	8.2	1.7333333333333334	11.266666666666667	2.7333333333333334	0.9333333333333333
https://movie.douban.com/subject/25864085/	0	3.9333333333333336	0.9333333333333333	1	5.666666666666667	4.4	8.466666666666667	1.9333333333333333	0
https://movie.douban.com/subject/1306249/	0	3.7333333333333334	0.9333333333333333	0.8	8.4	2.9333333333333336	7.533333333333333	3.8666666666666667	0
https://movie.douban.com/subject/1302425/	0	2.8666666666666667	1.8	1.8666666666666667	10.4	2.8	7.733333333333334	2.8	0
https://movie.douban.com/subject/4268598/	0	3.9333333333333336	2	1.9333333333333333	7.533333333333334	1	10.0	3.8666666666666667	0
https://movie.douban.com/subject/5912992/	0	2.9333333333333336	1	2.9333333333333336	8.866666666666667	2	6.800000000000001	2	0
https://movie.douban.com/subject/1862151/	0	4.866666666666667	0.9333333333333333	1	8.4	1.7333333333333334	10.0	1	0
https://movie.douban.com/subject/1787291/	0	1.8	0.9333333333333333	1	13.066666666666668	2.8	4.866666666666667	2.8	0
https://movie.douban.com/subject/25723907/	0	2.9333333333333336	0	1.7333333333333334	7.333333333333333	1.6	11.26666666666667	3.5999999999999996	0
https://movie.douban.com/subject/1900841/	0	2.9333333333333336	2	0	10.533333333333335	4	6.666666666666668	2.8	0
https://movie.douban.com/subject/1866479/	0	2.8666666666666667	1.6	0.9333333333333333	9.866666666666665	3.6000000000000005	7.733333333333333	3.866666666666667	0
https://movie.douban.com/subject/3792799/	0	1.8666666666666667	1.7333333333333334	1	7.333333333333333	1.9333333333333333	7.533333333333334	3.7333333333333334	0
https://movie.douban.com/subject/24719063/	0	1.9333333333333333	1.7333333333333334	0.9333333333333333	6.6000000000000005	2.6	6.6000000000000005	1	0
https://movie.douban.com/subject/4202982/	0	1.7333333333333334	0.9333333333333333	1	9.600000000000001	1	10.866666666666669	1.9333333333333333	0
https://movie.douban.com/subject/1298070/	0	4	1	1	10.600000000000001	1.8	7.333333333333333	4.866666666666667	0
https://movie.douban.com/subject/1291843/	0	1.8666666666666667	1	1.8	11.333333333333334	3	6.6	3.9333333333333336	0
https://movie.douban.com/subject/1316510/	0	1.5333333333333332	2	2.8666666666666667	7.333333333333333	1.8	8.466666666666667	2.8666666666666667	0
https://movie.douban.com/subject/26862259/	0	3.333333333333333	0.8	0.9333333333333333	4.3999999999999995	1.9333333333333333	7.066666666666666	3.333333333333333	0.9333333333333333
https://movie.douban.com/subject/1300267/	0	0.9333333333333333	1	2.9333333333333336	11.533333333333333	0.9333333333333333	13.333333333333334	4	0
https://movie.douban.com/subject/1418200/	0	4.8	1.7333333333333334	2.7333333333333334	10.733333333333333	3.4000000000000004	6.733333333333333	2.8	0
https://movie.douban.com/subject/1291571/	0	2.6	1	1	9.600000000000001	1.7333333333333334	10.666666666666668	2.8666666666666667	0
