User_link	1	2	3	4	5	6	7	8
https://www.douban.com/people/167952275/	4	2	2	2	0	0	0	0
https://www.douban.com/people/17290592/	0	1	0	0	0	4	0	7
https://www.douban.com/people/187286811/	0	0	2	0	0	5	0	4
https://www.douban.com/people/2612352/	2	0	5	0	0	2	1	0
https://www.douban.com/people/34017904/	0	1	1	0	0	8	0	0
https://www.douban.com/people/36293645/	0	0	1	0	0	8	0	1
https://www.douban.com/people/3756476/	0	0	0	0	0	6	0	5
https://www.douban.com/people/43217481/	1	5	1	0	1	1	0	2
https://www.douban.com/people/50291382/	3	1	1	2	1	1	1	0
https://www.douban.com/people/55664026/	3	0	3	0	0	5	0	0
https://www.douban.com/people/55835124/	2	6	0	0	0	0	1	0
https://www.douban.com/people/58028927/	0	1	1	6	0	0	2	0
https://www.douban.com/people/58804513/	0	1	2	3	1	3	0	1
https://www.douban.com/people/61956974/	0	1	1	1	0	4	0	3
https://www.douban.com/people/62496308/	0	0	2	2	1	4	0	1
https://www.douban.com/people/64339509/	4	1	0	0	0	3	0	2
https://www.douban.com/people/69497519/	1	0	1	0	0	7	0	1
https://www.douban.com/people/79807165/	0	3	1	2	0	3	0	0
https://www.douban.com/people/82101682/	1	0	0	4	1	3	0	0
https://www.douban.com/people/83993810/	0	0	0	2	0	3	0	5
https://www.douban.com/people/84010010/	3	4	2	1	0	0	0	0
https://www.douban.com/people/HazzaCheng/	0	0	1	3	0	5	0	2
https://www.douban.com/people/Lizyjs/	3	0	2	3	0	1	0	1
https://www.douban.com/people/TheLonelyPeople/	0	0	3	6	0	2	0	0
https://www.douban.com/people/XinwenCheng/	0	0	1	1	0	4	0	5
https://www.douban.com/people/actor9527/	0	1	0	3	4	1	0	1
https://www.douban.com/people/baiwuya/	0	0	1	0	0	7	0	3
https://www.douban.com/people/bestkfx/	0	1	2	1	0	4	0	3
https://www.douban.com/people/blackqin/	0	5	2	1	0	2	0	1
https://www.douban.com/people/bluebay/	2	2	3	6	0	0	0	0
https://www.douban.com/people/derekland/	0	0	0	0	0	8	0	2
https://www.douban.com/people/flowermumu/	5	4	2	0	0	0	0	0
https://www.douban.com/people/gnov/	0	2	1	4	0	3	0	0
https://www.douban.com/people/immortal_3/	1	5	1	1	1	0	0	0
https://www.douban.com/people/originhuman/	0	6	0	3	0	0	0	0
https://www.douban.com/people/putengfei/	4	0	2	3	1	0	1	0
https://www.douban.com/people/rotest105354/	5	1	1	1	0	1	1	1
https://www.douban.com/people/suecat/	2	1	1	4	0	1	1	3
https://www.douban.com/people/swing1/	4	3	2	0	0	0	0	0
https://www.douban.com/people/tiemabinghe/	2	5	0	1	1	0	0	0
https://www.douban.com/people/uangyc/	0	0	0	6	0	1	0	2
https://www.douban.com/people/wenjingbaba/	0	0	2	1	0	5	2	0
https://www.douban.com/people/xiaoang_0528/	1	0	1	0	0	7	0	0
https://www.douban.com/people/xmsgjqr/	5	0	0	5	0	0	1	0
https://www.douban.com/people/ygy8245/	3	1	0	4	2	0	0	0
https://www.douban.com/people/yuhaolwy/	1	2	1	0	1	4	1	0
https://www.douban.com/people/yunbozhao/	0	1	1	2	0	1	2	2
https://www.douban.com/people/yuyan545/	3	1	0	3	0	0	3	0
https://www.douban.com/people/zjmr/	3	1	2	3	0	0	1	0
https://www.douban.com/people/101751553/	3	0	0	3	0	2	0	2
https://www.douban.com/people/1068757/	0	0	0	3	0	5	0	0
https://www.douban.com/people/1283623/	1	0	2	1	0	5	0	0
https://www.douban.com/people/129356235/	1	3	1	0	0	0	1	2
https://www.douban.com/people/134390570/	0	0	0	0	0	0	0	8
https://www.douban.com/people/138928695/	0	3	2	3	0	1	0	0
https://www.douban.com/people/139067217/	0	1	0	1	1	1	1	3
https://www.douban.com/people/140034798/	1	0	5	0	0	4	0	0
https://www.douban.com/people/140109396/	3	1	0	2	0	1	1	0
https://www.douban.com/people/140619686/	0	0	0	0	0	8	0	0
https://www.douban.com/people/1448991/	2	0	1	5	1	0	0	0
https://www.douban.com/people/148441347/	0	8	0	1	0	0	0	0
https://www.douban.com/people/1540922/	0	0	0	1	0	6	0	2
https://www.douban.com/people/159178137/	0	0	2	0	0	5	0	2
https://www.douban.com/people/160040983/	0	0	2	5	0	1	0	1
https://www.douban.com/people/163006711/	1	2	3	2	0	1	0	0
https://www.douban.com/people/166744392/	0	0	0	2	3	2	1	1
https://www.douban.com/people/172678097/	0	0	0	0	0	8	0	0
https://www.douban.com/people/173440622/	2	1	2	1	0	1	1	0
https://www.douban.com/people/174844269/	3	4	1	1	0	0	0	0
https://www.douban.com/people/2236101/	0	0	1	1	0	5	0	1
https://www.douban.com/people/2267079/	3	3	0	2	0	0	0	0
https://www.douban.com/people/2328636/	1	0	0	4	0	3	0	1
https://www.douban.com/people/25746151/	4	0	4	4	0	0	0	0
https://www.douban.com/people/29877432/	4	2	0	1	0	1	0	0
https://www.douban.com/people/3639653/	2	4	0	1	1	0	0	2
https://www.douban.com/people/39532726/	7	0	1	2	0	0	0	0
https://www.douban.com/people/40269898/	0	0	3	3	0	4	0	0
https://www.douban.com/people/51743249/	3	0	0	1	0	3	1	0
https://www.douban.com/people/53267906/	3	0	5	2	0	0	1	0
https://www.douban.com/people/54793495/	0	0	2	5	0	1	0	0
https://www.douban.com/people/55497710/	1	0	1	0	0	5	0	1
https://www.douban.com/people/58301523/	1	0	1	1	0	3	2	0
https://www.douban.com/people/59163051/	2	0	1	5	0	0	1	0
