MovieLink	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6
https://movie.douban.com/subject/2209573/	2	3	1	4	11	1
https://movie.douban.com/subject/1292220/	3	4	1	3	10	4
https://movie.douban.com/subject/25921812/	6	4	2	5	8	2
https://movie.douban.com/subject/27622447/	5	2	1	3	10	3
https://movie.douban.com/subject/1292402/	4	2	1	4	10	3
https://movie.douban.com/subject/2353023/	5	4	2	6	8	1
https://movie.douban.com/subject/25765735/	3	2	1	7	9	1
https://movie.douban.com/subject/25815034/	5	4	1	7	7	2
https://movie.douban.com/subject/26336252/	4	3	1	9	6	0
https://movie.douban.com/subject/3011091/	2	3	2	6	9	3
https://movie.douban.com/subject/3205624/	6	1	1	1	10	2
https://movie.douban.com/subject/6860160/	5	2	1	3	10	2
https://movie.douban.com/subject/1292343/	7	1	1	3	9	1
https://movie.douban.com/subject/1291548/	5	2	2	4	9	3
https://movie.douban.com/subject/24773958/	2	4	1	8	7	2
https://movie.douban.com/subject/1292215/	6	4	1	5	7	3
https://movie.douban.com/subject/1292224/	3	1	1	3	10	4
https://movie.douban.com/subject/23761370/	3	3	2	8	7	1
https://movie.douban.com/subject/27110296/	5	3	1	6	8	1
https://movie.douban.com/subject/1299131/	2	3	2	3	10	3
https://movie.douban.com/subject/1292849/	4	4	1	4	9	2
https://movie.douban.com/subject/3005875/	7	2	1	4	8	0
https://movie.douban.com/subject/26607693/	5	1	2	7	7	2
https://movie.douban.com/subject/10485647/	5	4	0	8	5	0
https://movie.douban.com/subject/25917973/	6	4	3	4	7	2
https://movie.douban.com/subject/25798222/	2	0	2	6	9	2
https://movie.douban.com/subject/4876722/	5	3	1	6	7	3
https://movie.douban.com/subject/25964071/	6	4	1	5	7	0
https://movie.douban.com/subject/4746257/	7	4	1	6	4	3
https://movie.douban.com/subject/5977835/	2	1	2	7	8	2
https://movie.douban.com/subject/3287562/	3	3	1	4	9	3
https://movie.douban.com/subject/1302425/	5	2	1	2	9	3
https://movie.douban.com/subject/1438652/	5	2	1	3	9	2
https://movie.douban.com/subject/3530403/	6	3	1	5	7	2
https://movie.douban.com/subject/1293544/	6	3	1	3	8	2
https://movie.douban.com/subject/1858711/	5	4	2	5	7	2
https://movie.douban.com/subject/26416603/	4	1	1	6	8	2
https://movie.douban.com/subject/1292370/	6	4	2	0	8	1
https://movie.douban.com/subject/3006772/	6	3	2	2	8	2
https://movie.douban.com/subject/6722879/	2	1	1	5	9	3
https://movie.douban.com/subject/1291832/	6	3	1	3	7	4
https://movie.douban.com/subject/1292208/	3	4	1	2	9	3
https://movie.douban.com/subject/27615441/	5	5	1	4	7	2
https://movie.douban.com/subject/1291818/	3	3	1	3	9	3
https://movie.douban.com/subject/1866479/	2	3	1	6	8	2
https://movie.douban.com/subject/2334904/	4	2	2	3	9	2
https://movie.douban.com/subject/26100958/	5	4	1	6	6	2
https://movie.douban.com/subject/25773932/	5	1	1	8	5	1
https://movie.douban.com/subject/1292223/	4	1	1	4	9	1
https://movie.douban.com/subject/3016187/	4	3	1	5	8	1
https://movie.douban.com/subject/1300299/	3	4	1	6	7	2
https://movie.douban.com/subject/1300992/	2	3	1	0	10	0
https://movie.douban.com/subject/26393561/	2	5	2	4	8	1
https://movie.douban.com/subject/3804891/	6	2	2	4	7	2
https://movie.douban.com/subject/10533913/	4	3	2	5	7	3
https://movie.douban.com/subject/1291552/	3	3	1	5	8	2
https://movie.douban.com/subject/1862151/	4	3	2	5	7	3
https://movie.douban.com/subject/20438962/	3	1	0	7	7	2
https://movie.douban.com/subject/21941283/	4	2	1	3	9	1
https://movie.douban.com/subject/27605698/	3	2	1	4	9	0
https://movie.douban.com/subject/26363254/	4	2	2	7	6	1
https://movie.douban.com/subject/30334073/	5	2	2	3	8	2
https://movie.douban.com/subject/1291571/	5	3	1	4	7	3
https://movie.douban.com/subject/6985810/	3	3	1	3	9	0
https://movie.douban.com/subject/30424374/	5	4	1	4	7	1
https://movie.douban.com/subject/6037429/	3	3	2	6	7	1
https://movie.douban.com/subject/1309163/	4	4	1	3	8	1
https://movie.douban.com/subject/1828115/	6	2	1	5	6	2
https://movie.douban.com/subject/2369845/	6	2	1	1	8	0
https://movie.douban.com/subject/1302467/	2	3	1	1	9	3
